# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
iona	jona
ionad	jonad
ionadab	jonadab
ionas	jonas
ionat	jonat
ionathan	jonathan
ionathans	jonathans
ione	jone
iones	jones
ioneses	joneses
iong.	jong.
ionick	jonick
ionson	jonson
ionsoni	jonsoni
ionsonias	jonsonias
ionsonio	jonsonio
ionsonivm	jonsonium
ionsons	jonsons
iophiel	jophiel
ior.	jor.
ioram	joram
iorasta	jorasta
iordan	jordan
iordane	jordane
iorden	jorden
iore	jore
iorneiman	jorneiman
iorney	journey
iorneyes	journeys
iorneyman	journeyman
iorneyng	iorneing
iornied	journeyed
iorny	journey
ios	jos
ios.	jos.
iosaphat	josaphat
iose	jose
iosedech	josedech
ioseph	joseph
iosephs	josephs
iosephus	josephus
iosh.	josh.
ioshua	joshua
iosias	josias
ioss'le	joss'le
ioss.	joss.
iosseline	josseline
iost	jost
iosua	josua
iosue	josue
iosvah	josvah
iot	jot
iote	jot
ioto	joto
iotte	jot
iou	jou
iou'd	joved
iou.	jou.
ioualist	jovalist
iouc	jouc
ioue	jove
ioue's	jove's
ioue-borne	jove-borne
ioue-like	jove-like
iouels	iovels
iouenella	jovenella
iouer-reacht	jover-reacht
ioues	joves
iouet	jovet
iouial	jovial
iouiald	joviald
iouialist	jovialist
iouiall	jovial
iouially	jovially
iouinelli	jovinelli
iouinells	jovinells
iouio	jovio
iouis	jovis
iouisance	jovisance
iouisque	jovisque
ioule	joule
iounck	jounck
iournall	journal
iourneis	journeys
iourney	journey
iourney'd	journeyed
iourney's	journey's
iourney-man	journeyman
iourney-men	journey-men
iourney-women	journey-women
iourneyes	journeys
iourneyman	journeyman
iourneymans	journeymans
iourneys	journeys
iournie	journey
iournie's	journey's
iournies	journeys
iourny	journey
iourny-man	journeyman
iourny-men	journeymen
iournying	journeying
ious	jous
iouse	jouse
iouy	jovy
iouyce	iovyce
iouysaunce	iovysaunce
iov	jov
iove	jove
iove's	jove's
iove-madam	jove-madam
ioves	joves
iovial	jovial
ioviall	jovial
iovis	jovis
iow	jow
iow'd	jowed
iowben	jowben
iowe	jowe
iowe'my	jowe'my
iowle	jowl
iowzy	jowzy
ioy	joy
ioy'd	joyed
ioy's	joy's
ioy'st	joyest
ioy.	joy.
ioyce	joyce
ioyd	joyed
ioye	joy
ioye's	joy's
ioyed	joyed
ioyes	joys
ioyeth	joyeth
ioyeux	joyeux
ioyful	joyful
ioyful'st	ioyfulest
ioyfull	joyful
ioyfullie	joyfully
ioyfully	joyfully
ioyfulnesse	joyfulness
ioying	joying
ioylesse	joyless
ioyn	join
ioyn'd	joined
ioyn'de	joyn'de
ioyncture	jointure
ioynctures	joynctures
ioynd	joined
ioynde	joined
ioyndstooles	joyndstooles
ioyne	join
ioyned	joined
ioynedst	joinedst
ioyner	joiner
ioynes	joins
ioynesclose	joynesclose
ioyneth	joins
ioyning	joining
ioyns	joins
ioynt	joint
ioynt-stoole	jointstool
ioynte	joint
ioynted	jointed
ioynter	jointer
ioynters	jointers
ioyntes	joints
ioyntly	jointly
ioyntlye	jointly
ioynts	joints
ioynture	jointure
ioyntures	jointures
ioynyng	joining
ioys	joys
ioyue	ioyve
iperceiue	iperceive
irefull	ireful
irish-man	irishman
irish-men	irishmen
irke	irk
irkes	irks
irkesome	irksome
irksom	irksome
ironicall	ironical
irrationale	irrational
irrecouerable	irrecoverable
irrecouerablenes	irrecoverablenes
irrecouerably	irrecoverably
irregularitie	irregularity
irreligeous	irreligious
irremoueable	irremoveable
irresistable	irresistible
irreuerently	irreverently
irreuitable	irrevitable
irreuocable	irrevocable
irreuocably	irrevocably
irrevocablie	irrevocably
iryshe	irish
is'st	isest
isaith	isaiah
isatstrōgest	isatstrongest
isbel's	isabel's
isbels	isabels
ish	is
isht	ished
ising-glasse	isingglasse
issu'd	issued
issue-lesse	issueless
issuelesse	issueless
issuless	issueless
it-selfe	itself
italyan	italian
itch'd	itched
itch'es	itch's
itche	itch
itchie	itchy
ite	item
item'd	itemed
iterdvca	iterduca
itselfe	itself
iu'e	ju'e
iu.	ju.
iuan	juan
iuan.	juan.
iuba	juba
iuba-and	juba-and
iubalter	jubalter
iubeo	jubeo
iubilce	jubilce
iubile	jubile
iubilee	jubilee
iubilies	jubilees
iubily	jubilee
iubiter	jubiter
iuce	juice
iucense	jucense
iucōperable	incomparable
iucrie	jucrie
iucubus	jucubus
iucundas	jucundas
iucundos	jucundos
iud	jud
iud.	jud.
iuda	juda
iudaea	judaea
iudaean	judaean
iudaeas	judaeas
iudah	judah
iudaic.	judaic.
iudaisme	judaisme
iudas	judas
iudas-like	judas-like
iudaycal	judaycal
iude	jude
iude.	jude.
iudea	judea
iudean	judean
iudeas	judea's
iudes	jude's
iudex	judex
iudg'd	judged
iudg.	judg.
iudgd	judged
iudge	judge
iudged	judged
iudgement	judgement
iudgement's	judgement's
iudgement-seate	judgement-seat
iudgemente	judgement
iudgementes	judgements
iudgements	judgements
iudgemēt	judgement
iudgemēts	judgements
iudgers	judgers
iudges	judges
iudgesse	judgesse
iudgeth	judgeth
iudging	judging
iudgment	judgement
iudgment's	judgement's
iudgments	judgements
iudgmēt	judgement
iudgmēts	judgements
iudgyng	judging
iudic.	judic.
iudicatory	judicatory
iudicature	judicature
iudicatures	judicatures
iudice	judice
iudicial	judicial
iudiciall	judicial
iudiciallie	judicially
iudicially	judicially
iudicials	judicials
iudicious	judicious
iudiciously	judiciously
iudiciously-pend	judiciously-pend
iudiciouslye	judiciously
iudicium	judicium
iudicium's	judicium's
iudificantur	judificantur
iudith	judith
iudithe	judithe
iuditiall	judicial
iuditious	judicious
iuditiously	judiciously
iudycyall	judycyall
iudyth	judyth
iue	jue
iuelles	ivelles
iuery	juery
iuf.	juf.
iug	jug
iug.	jug.
iuga	juga
iugall	jugal
iugario	jugario
iugement	judgement
iuges	juges
iugg	jugg
iugge	jug
iuggle	juggle
iuggled	juggled
iuggler	juggler
iugglers	jugglers
iuggling	juggling
iuggy	juggy
iugled	juggled
iugler	juggler
iuglers	jugglers
iugling	juggling
iugs	jugs
iugum	jugum
iugurth	jugurth
iuiall	juiall
iuice	juice
iuicelesse	juiceless
iuicles	ivicles
iuicy	juicy
iuie	ivy
iuiury	iviury
iul	jul
iul.	jul.
iuli	juli
iuli.	juli.
iulia	julia
iulia's	julia's
iuliae	juliae
iulian	julian
iuliana	juliana
iulianas	julianas
iulianus	julianus
iuliarues	juliarues
iulias	julias
iulie	julie
iulie-flowers	julie-flowers
iulies	julies
iulietta	julietta
iuliettas	juliettas
iulio	julio
iulio's	julio's
iulions	julions
iulios	julios
iulip	julip
iulipe	julipe
iulips	julips
iulius	julius
iully	jully
iult.	jult.
iulta	julta
iulus	julus
iuly	july
iuly's	july's
iuly-flowers	july-flowers
iuly-flowres	july-flowers
iulye	julye
iulyo	julyo
iumbled	jumbled
iumbling	jumbling
iump	jump
iumpe	jump
iumpes	jumps
iumps	jumps
iumpt	jumped
iun.	jun.
iunces	junces
iuncker	juncker
iune	june
iungfraw	jungfraw
iungunturtaciti	jungunturtaciti
iuni.	juni.
iuningberg	juningberg
iunio	junio
iunior	junior
iuniority	juniority
iunip	junip
iuniper	juniper
iuniu	juniu
iunius	junius
iunkets	junkets
iuno	juno
iuno's	juno's
iunoe's	junoe's
iunoes	junoes
iunone	junone
iunonem	junonem
iunonia	junonia
iunonis	junonis
iunos	junos
iunt	junt
iunus	junus
iunïus	junïus
iuorie	juorie
iuory	ivory
iuotie	juotie
iup	jup
iup.	jup.
iupi.	jupi.
iupiter	jupiter
iupiter's	jupiter's
iupiters	jupiters
iuppiter	juppiter
iupyter	jupyter
iuration	juration
iure	jure
iurer	jurer
iurie	jury
iuries	juries
iuris	juris
iuris-dictiones	juris-dictiones
iurisconsultus	jurisconsultus
iurisdiction	jurisdiction
iurney	journey
iuror	juror
iurors	jurors
iurour	jurour
iury	jury
iury-men	jurymen
iurye	jury
iuryes	juries
iush	jush
iusiurandum	jusiurandum
iust	joust
iust-cankerd	just-cankerd
iust-death	just-death
iust-deserued	just-deserved
iust.	just.
iuste	just
iustely	justly
iuster	juster
iustest	justest
iusti.	justi.
iusticce	justicce
iustice	justice
iustice's	justice's
iustice-a-peace	justice-a-peace
iustice-hood	justice-hood
iustice-ship	justiceship
iustice.	justice.
iusticer	justicer
iustices	justices
iusticiā	iusticiam
iustie	justie
iustie-pie	justie-pie
iustifi'd	justified
iustifiable	justifiable
iustification	justification
iustifie	justify
iustified	justified
iustifier	justifier
iustifies	justifies
iustify	justify
iustily	justily
iustinian	justinian
iustiniano	justiniano
iustinianos	justinianos
iustish	justish
iustitiam	justitiam
iustle	justle
iustled	justled
iustles	justles
iustlest	justlest
iustlie	justly
iustlier	justlier
iustling	justling
iustly	justly
iustlye	justly
iustlyng	justling
iustnesse	justness
iusto'your	justo'your
iustruction	instruction
iusts	jousts
iustus	justus
iustyce	justice
iustyces	justices
iustè	just
iut	jut
iuuant	iwant
iuuante	iwante
iuuat	iwat
iuuenal	juvenal
iuuenalis	iwenalis
iuuenall	juvenal
iuuenca	iwenca
iuuenis	iwenis
iuuensus	iwensus
iuuentus	iwentus
iuuentuss	iwentuss
iuuentute	iwentute
iuuenum	iwenum
iuuētus	iwentus
iuunetus	juunetus
iuvaded	juvaded
iuven	juven
iuvenal	juvenal
iuventus	juventus
iuvinall	juvinall
iuvinals	juvinals
iuy	ivy
iuy-bush	juy-bush
iuy-bushes	juy-bushes
iuyce	juice
iuyceles	ivyceles
iuye	ivy
iv'e	ju'e
iv.	ju.
ivdas	judas
ivditiovs	judicious
ivga	juga
ivie	ivy
ivli	juli
ivlia	julia
ivlias	julias
ivlivs	julius
ivnior	junior
ivno	juno
ivno's	juno's
ivnoes	junoes
ivnoni	junoni
ivnonis	junonis
ivorie	ivory
ivpi	jupi
ivpiter	jupiter
ivpiters	jupiters
ivs.	jus.
ivse	juse
ivst	just
ivstine	justine
ivstinian	justinian
ivs·	jus·
ivvenal	juvenal
iy'e	jy'e
iybbets	jybbets
iye	jye
iyes	eyes
iygge	jygge
iynkins	jynkins
iyntle	jyntle
iyntleman	jyntleman
ī	in
īfect	infect
jack'nape	jackanapes
jack-an-ape	jackanapes
jack-anapes	jackanapes
jacke	jack
jaile	jail
jailes	jails
jailour	jailor
janisaries	janissaries
jarre	jar
jarres	jars
jarteer	garter
jaundise	jaundice
jaw-bone	jawbone
jaw-bones	jawbones
jawes	jaws
jayes	jays
jayle	jail
jayler	jailer
jayles	jails
jaylor	jailor
jaylors	jailors
jealosie	jealousy
jealosy	jealousy
jealouse	jealous
jealousie	jealousy
jealousyes	jealousies
jealozie	jealousy
jeast	jest
jeasted	jested
jeaster	jester
jeasting	jesting
jeasts	jests
jeer'd	jeered
jeere	jeer
jeeres	jeers
jeerē	jeeren
jellie	jelly
jelous	jealous
jelousie	jealousy
jelousies	jealousies
jelousy	jealousy
jemmes	jems
jer-falcons	jerfalcons
jerk'd	jerked
jerke	jerk
jeshu	jesu
jestes	jests
jesuites	jesuits
jett	jet
jevvels	jewels
jewel-house	jewelhouse
jewells	jewels
jigg	jig
jigg'd	jigged
jigge	jig
jiggs	jigs
jobbe	job
jobbs	jobs
jockie	jockey
jocky	jockey
jocond	jocund
jogg	jog
jogge	jog
joies	joys
join'd	joined
join'st	joinest
joincture	jointure
joind	joined
joine	join
joint-stool	jointstool
jollie	jolly
jollitie	jollity
jolt-head	jolthead
jossell'd	josselled
joue	jove
joulting	jolting
journall	journal
journeies	journeys
journey-man	journeyman
journeyes	journeys
journie	journey
journies	journeys
journy	journey
journyes	journeys
joviall	jovial
jovne	joune
joy'd	joyed
joyd	joyed
joye	joy
joyes	joys
joyfull	joyful
joyn	join
joyn'd	joined
joynd	joined
joyne	join
joyned	joined
joyners	joiners
joynes	joins
joyning	joining
joyns	joins
joynt	joint
joynt-stoole	jointstool
joynte	joint
joynted	jointed
joynter	jointer
joynter-houses	jointer-houses
joynters	jointers
joyntly	jointly
joynts	joints
joynture	jointure
joyntures	jointures
jud-as	judas
judg	judge
judg'd	judged
judgd	judged
judgemēt	judgement
judgment	judgement
judgment's	judgement's
judgments	judgements
judiciall	judicial
juditious	judicious
jugall	jugal
jugg	jug
juggl'd	juggled
jugled	juggled
jugler	juggler
juglers	jugglers
jugling	juggling
juglings	jugglings
juicie	juicy
jumpe	jump
jumpt	jumped
juory	ivory
jurie	jury
just-borne	just-born
justifi'd	justified
justifie	justify
justify'd	justified
justnes	justness
juyce	juice
jvory	ivory
k	king
kalendar	calendar
kalender	calendar
kalenders	calendars
kanaue	kanave
kaynū	kaynus
kechin	kitchen
keele	keel
keeles	keels
keend	keened
keene	keen
keene-edg'd	keen-edged
keenesse	keeness
keep'st	keepest
keepe	keep
keepe's	keep's
keepes	keeps
keepst	keepest
keept	kept
keies	keys
kemb'd	kemboed
kemd	combed
ken'st	kennest
kend	kenned
kenell	kennel
kenne	ken
kennell	kennel
kennelled	kenneled
kennells	kennels
kentishe	kentish
kep'd	keeped
kep'st	keepest
kep't	kept
kepe	keep
keper	keeper
kepers	keepers
kepes	keeps
kepest	keepest
kepeth	keepeth
keping	keeping
kepst	keptest
kept'st	keptest
kepte	kept
keptst	keptest
kepyng	keeping
kerchiefe	kerchief
kerne	kern
kernell	kernel
kernes	kerns
kest	cast
ketch	catch
ketche	ketch
ketching	catching
kettle-drum	kettledrum
kettle-drummes	kettledrums
keuoke	kevoke
key-hole	keyhole
key-holes	keyholes
keye	key
keyes	keys
kick'd	kicked
kick-shaw	kickshaw
kickd	kicked
kicke	kick
kickes	kicks
kickshawes	kickshaws
kickst	kickest
kickt	kicked
kidde	kid
kiddes	kids
kidds	kids
kidneyes	kidneys
kidnyes	kidneys
kifs'd	kifsed
kil	kill
kil'd	killed
kil'st	killest
kild	killed
kilde	killed
kiling	killing
kill'd	killed
kill'dst	killedst
kill'st	killest
killd	killed
kille	kill
killes	kills
killeth	kills
killinge	killing
killst	killest
kils	kills
kilst	killest
kilt	killed
kiluert	kilvert
kind'st	kindest
kinde	kind
kinde-heart	kind-heart
kinde-hearted	kindhearted
kinde-natur'd	kinde-natured
kindeling	kindling
kindely	kindly
kindenes	kindness
kindeness	kindness
kindenesse	kindness
kindenesses	kindnesses
kindenēsse	kindness
kindes	kinds
kindl'd	kindled
kindlie	kindly
kindnes	kindness
kindnesse	kindness
kindome	kingdom
kindsman	kinsman
kingdome	kingdom
kingdome's	kingdom's
kingdomes	kingdoms
kingdomes-cares	kingdoms-cares
kinge	king
kingedomes	kingdoms
kinges	kings
kinght	knight
kinghts	knights
kinglie	kingly
kinne	kin
kinred	kindred
kinreds	kindreds
kins-folke	kinsfolk
kins-man	kinsman
kins-men	kinsmen
kins-mens	kinsmen's
kins-woeman	kinswoman
kinse-woman	kinswoman
kinsefolkes	kinsfolks
kinseman	kinsman
kinsemans	kinsmans
kinsemen	kinsmen
kinsemē	kinsmen
kinsewoman	kinswoman
kinsfolke	kinsfolk
kinsfolkes	kinsfolks
kinsmā	kinsman
kinsmens	kinsmen's
kinvvelmarshe	kinwelmarshe
kinvvelmershe	kinwelmershe
kirsen'd	kirsened
kis	kiss
kis'd	kissed
kis't	kissed
kiss'd	kissed
kissd	kissed
kisse	kiss
kisse-carrier	kiss-carrier
kisseth	kisses
kissinge	kissing
kist	kissed
kitchin	kitchen
kitchin's	kitchen's
kitchin-boyes	kitchen-boys
kitchin-foode	kitchen-food
kitchin-inuention	kitchen-invention
kitchin-maid	kitchenmaid
kitchin-maide	kitchenmaid
kitchin-maids	kitchenmaids
kitchin-stuff	kitchen-stuff
kitchin-stuffe	kitchen-stuff
kitchin-vessels	kitchen-vessels
kitchin-wench	kitchenwench
kitching	kitchen
kitchinstuffe	kitchenstuff
kitt	kit
kitten'd	kittened
kiue	kive
knacke	knack
knackes	knacks
knap-sacke	knapsack
knap-sacks	knapsacks
knappe	knap
knapsacke	knapsack
knaue	knave
knaue's	knave's
knauely	knavely
knauerie	knavery
knaueries	knaveries
knauerit	knaverit
knauery	knavery
knaues	knaves
knaues-acre	knaves-acre
knauesh	knavesh
knauish	knavish
knauishly	knavishly
knaverie	knavery
knavs	knaus
knaw'd	knawed
knawes	knaws
kned	kened
kneel'd	kneeled
kneel'st	kneelest
kneeld	kneeled
kneele	kneel
kneeles	kneels
kneell'd	kneeled
knel	kneel
knele	knee
kneleth	kneeleth
knels	kneels
knelynge	kneeling
knevv	knew
knew'st	knewest
knewe	knew
knewreuenges	knewrevenges
knewst	knewest
knif	knife
knight-hood	knighthood
knight-hoods	knighthoods
knight-ship	knightship
knighte	knight
knightes	knights
knighthod	knighthood
knighthoode	knighthood
knighthoodes	knighthoods
knightlie	knightly
knip'd	kniped
knitt	knit
knitte	knit
knittyng	knitting
kniues	knives
kno	know
knob'd	knobed
knock'd	knocked
knock't	knocked
knock-hvm	knock-hum
knocke	knock
knocke's	knock's
knockes	knocks
knockhvm	knockhum
knockt	knocked
knoks	knocks
knot-grass	knotgrass
knot-grasse	knotgrass
knotte	knot
knottes	knots
knottie	knotty
knovv	know
knovv'st	knowest
knovve	know
knovven	known
knovves	knows
knovving	knowing
knovvledge	knowledge
knovvne	known
know'n	known
know'st	knowest
knowe	know
knowe's	know's
knoweledge	knowledge
knowen	known
knowes	knows
knowē	known
knowlage	knowledge
knowledg	knowledge
knowledgē	knowledge
knowledgynge	knowledging
knowleg	knowledge
knowlege	knowledge
knowne	known
knownes	knowns
knowst	knowest
knowste	knows
knowth	knoweth
knowyng	knowing
knowynge	knowing
knyfe	knife
knyght	knight
knyghtes	knights
knyt	knit
knyttyng	knitting
knée	knee
knéele	kneel
knéeled	kneeled
knées	knees
kon'd	koned
korne	corn
kowledge	knowledge
kowne	kown
kt	knight
kuaue	kuave
kyb'd	kybed
kyld	killed
kyll	kill
kyllegrevv	kyllegrew
kyllynge	killing
kyn	kin
kynd	kind
kynde	kind
kyndes	kinds
kyndle	kindle
kyndled	kindled
kyndnes	kindness
kyndred	kindred
kyne	kine
kyng	king
kyngdom	kingdom
kyngdome	kingdom
kyngdomes	kingdoms
kyngdoms	kingdoms
kynge	king
kyngedom	kingdom
kyngedome	kingdom
kyngedō	kingdom
kynges	kings
kyngly	kingly
kyngs	kings
kynne	kin
kynred	kindred
kynsemen	kinsmen
kynsman	kinsman
kysse	kiss
kyssing	kissing
kyte	kite
kytes	kites
kéele	keel
kéep	keep
kéepe	keep
kéeper	keeper
kéepes	keeps
kéepeth	keepeth
kéeping	keeping
l'auannes	l'avannes
l'aue	l'ave
l'me	i'm
la-dy	lady
la-g	lag
lab'ring	labouring
labell	label
labelled	labeled
labells	labels
laberinth	labyrinth
laberivs	laberius
labirinth	labyrinth
labor	labour
labor'd	laboured
labor's	labour's
laboratorie	laboratory
laborauerunt	laboraverunt
labored	laboured
laborer	labourer
laborers	labourers
laboreth	laboureth
laboring	labouring
laborinth	labyrinth
labors	labours
laborynth	labyrinth
labour'd	laboured
labour'st	labourest
labourd	laboured
laboure	labour
laboures	labours
labouriously	laboriously
labouryng	labouring
labring	labouring
labyrinthes	labyrinths
lac'd	laced
lac't	laced
lacedemonian	lacedaemonian
lacedemonians	lacedæmonians
lacedemoniā	lacedaemonian
laciuious	lascivious
laciuiously	laciviously
laciuiously-composed	laciviously-composed
lacivious	lascivious
lack'd	lacked
lack'st	lackest
lack't	lacked
lack-lustre	lacklustre
lackd	lacked
lacke	lack
lackes	lacks
lackeyes	lackeys
lackie	lackey
lackies	lackeys
lackst	lackest
lackt	lacked
lackye	lackey
lackyes	lackeys
lackying	lackeying
lacquey	lackey
lacquies	lackeys
lacquy	lackey
lad'st	ladest
ladd	lad
ladde	lad
laddes	lads
ladds	lads
laded	jaded
ladell	ladle
ladē	laden
ladi'd	ladied
ladi-ship	ladyship
ladie	lady
ladie's	lady's
ladie-bird	ladybird
ladie-birds	ladybirds
ladie-guests	lady-guests
ladie-like	ladylike
ladie-virgines	lady-virgins
ladie-wits	lady-wits
ladiship	ladyship
ladiships	ladyships
lady-bird	ladybird
lady-like	ladylike
lady-ship	ladyship
lady-shipp	ladyship
lady-ships	ladyships
ladye	lady
ladye's	lady's
ladyes	ladies
ladyfi'd	ladyfied
laelivs	laelius
laeuam	laevam
laeue	laeve
laeuin	laevin
lagg	lag
lagge	lag
laggyng	lagging
lai'd	laid
laid'st	laidst
laide	laid
laie	lay
laied	laid
laies	lays
laine	lain
laire	lair
laivs	laius
laizie	lazy
lam	lamb
lam'd	lamed
lam-stones	lamstones
lamb'd	lambed
lamb-skin'd	lamb-skined
lambe	lamb
lambe-like	lamblike
lambe-stones	lamb-stones
lambes	lambs
lambes-wooll	lambswool
lamenes	lameness
lamenesse	lameness
lament'st	lamentest
lamente	lament
lamentes	laments
lamenteuol	lamentevol
lamentst	lamentest
lamentyng	lamenting
lamēt	lament
lamētable	lamentable
lamētations	lamentations
lamēted	lamented
lamēts	laments
lampe	lamp
lampes	lamps
lanc'd	lanced
lanch	launch
lanch'd	launched
lanch't	launched
lanched	launched
lanching	launching
lancht	launched
lancke	lank
land-ladie	landlady
land-lady	landlady
land-schape	landscape
land-shappe	land-shap
land-skip	landskip
lande	land
lander'd	landered
landerers	launderers
landes	lands
landinge	landing
landis	lands
landladie	landlady
landlesse	landless
landmarke	landmark
landresse	laundress
landresses	laundresses
landschape	landscape
landskips	landscapes
lang	long
langnish'd	langnished
languag'd	languaged
languague	language
languidg'd	languidged
languish'd	languished
languishe	languish
languisht	languished
languishyng	languishing
languishynge	languishing
languyshyng	languishing
laninā	laninam
lanke	lank
lant-horne	lanthorn
lanterne	lantern
lanternes	lanterns
lantgraue	landgrave
lantherne	lantern
lanthorne	lanthorn
lanthornes	lanthorns
lap'd	lapped
lap-wing	lapwing
lapanthaes	lapantha's
lapidarie	lapidary
lapp	lap
lapp'd	lapped
lappe	lap
lappes	laps
lapps	laps
lapt	leapt
lardes	lards
larg	large
largenes	largeness
largenesse	largeness
larges	largess
largesse	largess
larke	lark
larkes	larks
larum	alarm
larye	lary
lasciua	lasciva
lasciuious	lascivious
lasciuiously	lasciviously
lasciuiousnes	lasciviousness
lasciuous	lascivous
lasciviousnes	lasciviousness
lash'd	lashed
lashe	lash
lasht	lashed
lasie	lazy
lasse	lass
lasshe	lash
lasshyng	lashing
lastes	lasts
lastyng	lasting
latch'd	latched
latelie	lately
latelye	lately
laten	latin
latenes	lateness
laterall	lateral
latere	later
latest-funerall	latest-funeral
latexrigauit	latexrigavit
latine	latin
lattin	latin
latyn	latin
latyne	latin
lau'd	laved
laualties	lavalties
laualto	lavalto
lauander	lavander
lauardur's	lavardur's
laude	laud
laudible	laudable
laudynge	lauding
laue	lave
lauedst	lavedst
lauel	lavel
lauele	lavele
lauender	lavender
lauer	laver
lauerdure	laverdure
lauerdures	laverdures
laufull	lawful
laugd'st	laugdest
laugh'd	laughed
laugh'st	laughest
laugh't	laughed
laughe	laugh
laughes	laughs
laughing-stock	laughingstock
laughst	laughest
laught	laughed
laughyng	laughing
lauiathan	laviathan
lauine	lavine
lauinian	lavinjan
lauinias	lavinias
lauish	lavish
lauish'd	lavished
lauishe	lavish
lauishest	lavish
lauishly	lavishly
launc'd	lanced
launce	lance
launce-knights	lance-knights
launcelot	lancelot
launcers	lancers
launces	lances
launch'd	launched
launche	launch
launcht	launched
launcing	lancing
laundresse	laundress
laundrie	laundry
lauoltaes	lavoltas
lauolto	lavolto
laure	laurae
laureat	laureate
laurell	laurel
laurells	laurels
laurēce	laurence
laūce	lance
laūdresse	laundress
laūds	lands
lavender'd	lavendered
lavish'd	lavished
lavish't	lavished
lavisht	lavished
lavra	laura
lavs	laus
lavv	law
lavv.	law.
lavve	law
lavves	laws
lavvfull	lawful
lavvnes	lawns
lavvs	laws
lavvyers	lawyers
law'd	lawed
law-booke	lawbook
law-breaker	lawbreaker
law-giuers	lawgivers
law-giver	lawgiver
law-makers	lawmakers
law-suite	lawsuit
law-sute	lawsuit
lawd	lawed
lawde	laud
lawdes	lauds
lawe	law
lawers	lawyers
lawes	laws
lawfull	lawful
lawfulnesse	lawfulness
lawier	lawyer
lawiers	lawyers
lawles	lawless
lawlesse	lawless
lawnce	lance
lawncyng	lawncing
lawndresse	laundress
lawnds	lands
lawne	lawn
lawnes	lawns
lawrel	laurel
lawrel-crown'd	laurel-crowned
lawrel-tree	laurel-tree
lawrell	laurel
lawrels	laurels
laxatiue	laxative
lay'd	laid
lay'st	layest
lay-man	layman
layd	laid
layde	laid
laye	say
layed	laid
layen	lain
layes	lays
layn	lain
layne	lain
lazarvs	lazarus
lazely	lazily
lazie	lazy
lazinesse	laziness
lā	lan
lādes	lands
lāds	lands
lāguage	language
leacherie	lechery
leacherous	lecherous
leachery	lechery
leaches	leeches
lead'st	leadest
leade	lead
leades	leads
leadst	leadest
leadyng	leading
leadynge	leading
leafe	leaf
leafelesse	leafless
leafes	leaves
leage	league
leages	leagues
leagu'd	leagued
leakes	leaks
leames	leams
lean'd	leaned
lean'st	leanest
leand	leaned
leane	lean
leane-cowes	lean-cows
leane-witted	lean-witted
leanes	leans
leannesse	leanness
leant	leaned
leap'd	leapt
leap'st	leapest
leap't	leapt
leap-frog	leapfrog
leap-yeere	leap-year
leapd	leaped
leape	leap
leape-frog	leapfrog
leape-yeare	leap-year
leapes	leaps
leaprous	leprous
leapte	leapt
leare	lere
learn'd	learnt
learn't	learnt
learnd	learnt
learnd'st	learnedest
learnde	learnt
learndst	learnedest
learne	learn
learned'st	learnedest
learnedlie	learnedly
learnedst	learnedest
learnes	learns
learninges	learnings
learnst	learnest
learnyng	learning
learnynge	learning
learth'd	learthed
leas'd	leased
lease-mongers	leasemongers
leasht	leashed
leasinges	leasings
leasse	lease
least-wise	leastwise
leaste	jest
leasur'd	leisure
leasure	leisure
leasurely	leisurely
leasures	leisures
leat'd	leated
leather-head	leatherhead
leatherne	leathern
leau'st	leavest
leaud	lewd
leaue	leave
leaue'em	leave'em
leaue-lesse	leaveless
leaued	leaved
leaueld	leaveld
leaueles	leafless
leauelesse	leaveless
leauenth	leaventh
leauer	leaver
leauers	leavers
leaues	leaves
leaues-drop	leaves-drop
leauest	leavest
leaueth	leaveth
leauie	leavy
leauied	levied
leauing	leaving
leauinge	leaving
leauinges	leavings
leauings	leavings
leauy	leavy
leauyes	leavies
leauyng	leaving
leav	leave
leav'd	leaved
leav'st	leavest
leaveles	leafless
leaven'd	leavened
leavie	leavy
leavied	levied
leavinge	leaving
leavs	leaves
leawd	lewd
leawdly	lewdly
leawdnesse	lewdness
lecherie	lechery
lecherouse	lecherous
lecherye	lechery
led'st	leddest
ledd	led
ledde	led
ledeth	leadeth
leefest	liefest
leege	liege
leekes	leeks
leese	lose
leeste	least
leetle	little
leeue	leave
leeues	leaves
left'st	leftest
left-handed	lefthanded
lefte	left
leftey'd	lefteyed
lefthandded	lefthanded
leftst	leftest
leg'd	leged
leg-strain'd	leg-strained
legacie	legacy
legacyes	legacies
legall	legal
legerdemaine	legerdemain
legerdemayne	legerdemain
legg	leg
legg'd	legged
legge	leg
legges	legs
leggs	legs
legiō	legion
legitimat	legitimate
legittimate	legitimate
leicesters	leicester's
leies	leys
leiftenant	lieutenant
leiftenants	lieutenants
leige	liege
leivetenant	lieutenant
leivtenant	lieutenant
lemans	leman's
lemman	leman
lemmans	lemans
len'd	lened
lenatiue	lenative
lende	lend
lendst	lendest
lenety	lenity
lenger	longer
lenght	length
length'ned	lengthened
lengthe	length
lengthen'd	lengthened
lengthn'd	lengthened
lengthned	lengthened
lengthning	lengthening
lenitie	lenity
lente	lent
lentst	lentest
lentvlvs	lentulus
leo-natus	leonatus
leonoras	leonora's
leopardes	leopards
lepidvs	lepidus
leporous	leprous
