# TextPAIR modernization map: <historical form>	<modern form>
# One pair per line, tab-separated. Edit freely; the .mpk cache
# next to this file is rebuilt automatically when this file changes.
'a	he
affectons	affections
affectst	affectest
affeered	afeard
affianc'd	affianced
affiaunce	affiance
affidauit	affidavit
affie	affy
affinitie	affinity
affirm'd	affirmed
affirm'st	affirmest
affirmd	affirmed
affirmd'st	affirmdest
affirme	affirm
affirmes	affirms
affirmst	affirmest
afflicte	afflict
afflictiōs	afflictions
afflycted	afflicted
afflyctyons	afflictions
affoard	afford
affoord	afford
affoorde	afford
affoorded	afforded
affoordes	affords
affoordeth	affordeth
affoording	affording
affoords	affords
afforde	afford
affordes	affords
affourd	afford
affourds	affords
affraid	afraid
affraide	afraid
affrayd	afraid
affrayde	afraid
affrayed	afraid
affrican	african
affricans	africans
affrick's	afric's
affrightes	affrights
affrightfull	affrightful
affrightst	affrightest
affrontst	affrontest
affy'd	affied
affynyte	affinity
affyrme	affirm
aflict	afflict
aflicted	afflicted
afloate	afloat
afoote	afoot
afords	affords
afore-hand	aforehand
aforesaide	aforesaid
aforesayd	aforesaid
afors	afores
afra'd	afraed
afraide	afraid
afraied	afraid
afranivs	afranius
afrayd	afraid
afrayde	afraid
afrayed	afraid
afright	affright
afrighted	affrighted
afrighting	affrighting
afrightment	affrightment
afrights	affrights
after-ayde	after-aide
after-dinner's	afterdinner's
after-game	aftergame
after-harmes	after-harms
after-joyes	after-joys
after-life	afterlife
after-liuers	after-livers
after-meales	after-meals
after-noon	afternoon
after-noone	afternoon
after-noones	afternoons
after-ruine	after-ruin
after-times	aftertimes
after-ward	afterwards
after-wards	afterwards
after-wit	afterwit
afternoone	afternoon
afternoone's	afternoon's
afternoones	afternoons
aftervvard	afterwards
aftervvards	afterwards
afterwarde	afterwards
afterwardes	afterwards
aftter	after
ag'd	aged
againe	again
againste	against
agane	again
aganst	against
agast	aghast
agaste	aghast
agayn	again
agayne	again
agaynst	against
agaynste	against
age-dry'd	age-dryed
age-honor'd	age-honored
agein	again
ageine	again
ageinst	against
agen	again
ager	agre
agē	again
aggrauate	aggravate
aggrauated	aggravated
aggrauates	aggravates
aggrauating	aggravating
aggreed	agreed
aggreuate	aggrevate
aggriefed	aggrieved
agilitie	agility
agillity	agility
agin	again
agoe	ago
agonie	agony
agonizing	agonising
agonyes	agonies
agrauate	aggravate
agrauates	aggravates
agre	agree
agreable	agreeable
agree'd	agreed
agreede	agreed
agreee	agree
agreeu'd	aggrieved
agreeued	aggrieved
agrement	agreement
agreuation	agrevation
agrieu'd	aggrieved
agrieued	aggrieved
agriuated	agrivated
agroue	agrove
agryse	agrise
agrée	agree
agréed	agreed
agréede	agreed
agréement	agreement
agtvs	agtus
ahd	and
aide	aid
aidlesse	aidless
aie	aye
aier	air
aiery	airy
ail'd	ailed
ail'st	ailest
aile	ail
ailes	ails
